ano,janela,car_estatais,car_privadas,delta_did,t_did,p_did,sig5_did,n_estatais,n_privadas
2002,antecipacao_45,0.03654851260009774,-0.016385038577166895,0.052933551177264636,0.5584066633336318,0.578083942055116,False,8,85
2002,reacao_curta_1t,0.015743073475977767,-0.008652044692567895,0.024395118168545664,1.0234656415191485,0.3119318087964711,False,8,85
2002,reacao_curta_2t,0.013370272970608605,-0.004099554202256464,0.01746982717286507,0.7156840356663263,0.480963692763262,False,8,85
2006,antecipacao_45,0.19599268548245175,-0.021029314829255956,0.2170220003117077,1.170945920581418,0.27088517805315293,False,9,108
2006,reacao_curta_1t,0.06631448389056235,-0.058381791699892494,0.12469627559045485,1.6389218832282402,0.12169463684396342,False,9,108
2006,reacao_curta_2t,0.06410317550634254,0.024332408884088393,0.03977076662225414,0.6792181315738511,0.5126837539781971,False,9,108
2010,antecipacao_45,-0.004302232251610816,0.0035526532622155798,-0.007854885513826395,-0.10292838820454799,0.9192875030916149,False,15,181
2010,reacao_curta_1t,0.021060031088099517,0.015377936252622272,0.005682094835477245,0.33527549252342204,0.7404640177587707,False,15,181
2010,reacao_curta_2t,0.011310848307933363,-0.0062119266089952566,0.01752277491692862,0.6738391787241975,0.5103780515809544,False,15,181
2014,antecipacao_45,-0.03192240312612354,-0.02866526052496948,-0.003257142601154058,-0.07962940651957416,0.9373678773238167,False,17,196
2014,reacao_curta_1t,-0.03638978501500695,-0.02635969255995786,-0.01003009245504909,-0.2544245499442688,0.8022413665371453,False,17,196
2014,reacao_curta_2t,-0.01910070151117955,-0.0031453441434358314,-0.01595535736774372,-0.8445617199288914,0.40855758198174397,False,17,196
2018,antecipacao_45,0.006041291901308239,-0.011477579532787129,0.01751887143409537,0.7374737489851572,0.46617816015964675,False,17,208
2018,reacao_curta_1t,0.06542366294794535,0.027508101399427484,0.03791556154851787,1.5658984739612325,0.13266967763923906,False,17,208
2018,reacao_curta_2t,0.15313996172972513,0.03140275768844888,0.12173720404127625,0.9870112426907777,0.33815792469173966,False,17,208
2022,antecipacao_45,0.04571730381329605,0.04090314447657513,0.00481415933672092,0.13710410110805762,0.8922812832426146,False,18,282
2022,reacao_curta_1t,0.011995056182007411,-0.017696789063322754,0.029691845245330167,1.390519795769166,0.18061776719623915,False,18,282
2022,reacao_curta_2t,-0.023506344784108377,0.044146661015761625,-0.06765300579987,-3.1928812105003144,0.004715737264752143,True,18,282
