cenario,ponderacao,ano,setor,janela,car,ar_medio,ar_std,n_dias,alpha,beta,r_squared,sigma_resid,n_obs_est,alpha_hac_pv,beta_hac_pv,est_inicio,est_fim,janela_inicio,janela_fim,t_simples,p_simples,t_silva,p_silva,t_bmp,p_bmp,sig5_simples,sig5_silva,sig5_bmp,sig10_simples,sig10_silva,sig10_bmp,selic_prop,ipca_prop,car_exc_selic,car_exc_ipca
completo,EW,2002,Bens Industriais,antecipacao_45,0.05092827244774323,0.0011317393877276272,0.00843795148087763,45,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-08-05,2002-10-04,0.8997371730003431,0.37315814370089906,0.14041296682900747,0.8972312698355593,-0.2038264958192011,0.8515323756913746,False,False,False,False,False,False,0.034124999999999996,0.022375,0.016803272447743232,0.02855327244774323
completo,EW,2002,Bens Industriais,antecipacao_60,0.0725821485467051,0.0012097024757784182,0.012046404637676119,60,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-07-15,2002-10-04,0.7778515969657005,0.4397646524446943,0.18777482448197524,0.8630359935023935,-0.2319595616208759,0.8314917607977708,False,False,False,False,False,False,0.0455,0.029833333333333333,0.027082148546705098,0.04274881521337176
completo,EW,2002,Bens Industriais,reacao_curta_1t,0.021366157738795622,0.0019423779762541475,0.007026156634558507,11,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-09-30,2002-10-14,0.9168794951992489,0.38078650826406757,0.5174810446101088,0.6405577636399378,0.3921859925416868,0.7211225097342222,False,False,False,False,False,False,0.008341666666666667,0.005469444444444444,0.013024491072128955,0.01589671329435118
completo,EW,2002,Bens Industriais,reacao_media_1t,0.007592881726732241,0.0003615657965110591,0.007323823662402837,21,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-09-23,2002-10-21,0.22623464293995899,0.8233149962189847,-0.6377819735399719,0.5689610307502315,-0.7848650085064439,0.48980662665364894,False,False,False,False,False,False,0.015924999999999998,0.010441666666666667,-0.008332118273267757,-0.0028487849399344255
completo,EW,2002,Bens Industriais,reacao_ampla_1t,-0.011507662849286716,-0.0002806747036411394,0.01000818850776792,41,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-09-09,2002-11-04,-0.17957245672620548,0.8583948154236116,-0.2878342867271602,0.7922126915720078,-0.2779015235381331,0.7991398428626002,False,False,False,False,False,False,0.031091666666666667,0.020386111111111112,-0.04259932951595338,-0.03189377396039783
completo,EW,2002,Bens Industriais,reacao_curta_2t,-0.03317926135043507,-0.0030162964864031885,0.01563970728465031,11,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-10-21,2002-11-04,-0.6396490368899115,0.5367785109350629,-0.23001113663821154,0.8328744393517371,0.25466197022512777,0.8154431523849284,False,False,False,False,False,False,0.008341666666666667,0.005469444444444444,-0.041520928017101735,-0.038648705794879515
completo,EW,2002,Bens Industriais,reacao_media_2t,-0.018133099590833215,-0.0008634809328968198,0.016097158873197914,21,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-10-14,2002-11-11,-0.2458177102755188,0.808328384818306,0.44841490944167517,0.6842617480535198,0.68654128387979,0.5416768863001398,False,False,False,False,False,False,0.015924999999999998,0.010441666666666667,-0.03405809959083321,-0.028574766257499884
completo,EW,2002,Bens Industriais,entre_turnos,0.0190794673436288,0.0009539733671814399,0.007906591371250013,20,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-09-30,2002-10-25,0.5395875915628155,0.5957492463465912,-0.565978431142747,0.6109790990376878,-0.7005215290701706,0.534043775123652,False,False,False,False,False,False,0.015166666666666667,0.009944444444444443,0.0039128006769621314,0.009135022899184355
completo,EW,2002,Bens Industriais,ciclo_1sem,0.02816133488452801,0.00022895394215063423,0.015603804995916107,123,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-01-02,2002-07-01,0.16273095276264568,0.8709995110231978,-0.019997138269036634,0.9853013059314686,-0.31286253720977464,0.774873268728256,False,False,False,False,False,False,0.093275,0.06115833333333333,-0.06511366511547198,-0.03299699844880532
completo,EW,2002,Bens Industriais,ciclo_2sem,0.05897815920417375,0.00046439495436357284,0.01459045307696269,127,-0.0005268068252250009,0.16504854929458188,0.05041875714961419,0.01524209790414714,223,0.5593893824909763,0.0002511112642291188,2001-09-28,2002-08-26,2002-07-01,2002-12-30,0.3586910783862925,0.7204265101640914,0.2717787449342326,0.8034223477175977,0.305248606625002,0.7801302192119342,False,False,False,False,False,False,0.09630833333333333,0.06314722222222222,-0.03733017412915958,-0.004169063018048466
