cenario,ano,setor,janela,car,ar_medio,ar_std,n_dias,alpha,beta,r_squared,sigma_resid,n_obs_estimacao,est_inicio,est_fim,janela_inicio,janela_fim,t_stat_simples,p_value_simples,t_stat_silva,p_value_silva,t_stat_bmp,p_value_bmp,sig_5pct_simples,sig_10pct_simples,sig_5pct_silva,sig_5pct_bmp,selic_anual,ipca_anual,selic_proporcional,ipca_proporcional,car_excesso_selic,car_excesso_ipca
completo,2002,Bens Industriais,antecipacao_45,0.05717926921729376,0.0012706504270509724,0.00685988462964424,45,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-08-05,2002-10-04,1.2425547442504712,0.22061348454347685,1.1169554570835294,0.29294342411196883,1.0289488848779118,0.33360584556235073,False,False,False,False,0.1911,0.1253,0.034124999999999996,0.022375,0.02305426921729376,0.03480426921729376
completo,2002,Bens Industriais,antecipacao_60,0.11717507511816164,0.0019529179186360273,0.00788542478069591,60,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-07-15,2002-10-04,1.918379487660239,0.059905800528376796,1.3217706762679926,0.2188539436500201,1.4302994170754117,0.19050420580719774,False,True,False,False,0.1911,0.1253,0.0455,0.029833333333333333,0.07167507511816164,0.0873417417848283
completo,2002,Bens Industriais,reacao_curta,0.013561909255564395,0.001232900841414945,0.005031935339559643,11,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-09-30,2002-10-14,0.8126236167106,0.4353528990552531,2.2045793557155973,0.054928800415596335,1.7505291104262863,0.11813764754371148,False,False,False,False,0.1911,0.1253,0.008341666666666667,0.005469444444444444,0.005220242588897727,0.00809246481111995
completo,2002,Bens Industriais,reacao_media,0.04227997514410387,0.002013332149719232,0.005124492411009235,21,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-09-23,2002-10-21,1.800421629146192,0.08689605328547279,-0.09145878447112299,0.9291313611351601,-0.6787654310024662,0.5164377130738806,False,True,False,False,0.1911,0.1253,0.015924999999999998,0.010441666666666667,0.026354975144103874,0.031838308477437204
completo,2002,Bens Industriais,reacao_ampla,0.02482595040462465,0.0006055109854786499,0.006081109024090181,41,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-09-09,2002-11-04,0.6375748324509395,0.5273834498625343,-0.17675341572946474,0.863615694727569,-0.6820064172945415,0.5144917127529471,False,False,False,False,0.1911,0.1253,0.031091666666666667,0.020386111111111112,-0.006265716262042018,0.004439839293513537
completo,2002,Bens Industriais,reacao_2turno,-0.022386203566284794,-0.0020351094151167992,0.007410722409424692,11,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-10-21,2002-11-04,-0.9108011290070769,0.3838295328228276,0.1730906302565661,0.8664104390650658,0.3819640705900461,0.7124343764902159,False,False,False,False,0.1911,0.1253,0.008341666666666667,0.005469444444444444,-0.03072787023295146,-0.027855648010729237
completo,2002,Bens Industriais,ciclo_1sem,-0.0721946416146709,-0.0005917593574973025,0.014719473887280014,122,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-01-02,2002-06-30,-0.44405090758745164,0.6577988946117297,-0.8644862213971755,0.4097698959864995,-1.6912058444061084,0.12926115428519735,False,False,False,False,0.1911,0.1253,0.09251666666666666,0.06066111111111111,-0.16471130828133757,-0.132855752725782
completo,2002,Bens Industriais,ciclo_2sem,0.2285859058262684,0.0017998890222540819,0.014830181631284111,127,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-07-01,2002-12-31,1.367732348387663,0.17383041565647894,1.8050792769206905,0.10454658606638612,1.7273309089446258,0.12237674739253168,False,False,False,False,0.1911,0.1253,0.09630833333333333,0.06314722222222222,0.13227757249293506,0.16543868360404618
completo,2002,Bens Industriais,estendida,0.2285859058262684,0.0017998890222540819,0.014830181631284111,127,-0.00027655514109885254,0.19361795716693697,0.09408314310833421,0.012784888208831753,223,2001-09-28,2002-08-26,2002-07-01,2002-12-31,1.367732348387663,0.17383041565647894,1.8050792769206905,0.10454658606638612,1.7273309089446258,0.12237674739253168,False,False,False,False,0.1911,0.1253,0.09630833333333333,0.06314722222222222,0.13227757249293506,0.16543868360404618
completo,2002,Comunicações,antecipacao_45,0.08467247688962935,0.001881610597547319,0.021124501841284105,45,-0.0008070212484410605,0.0751911830168259,0.0010364917098369952,0.0496731673439776,223,2001-09-28,2002-08-26,2002-08-05,2002-10-04,0.5975159890034188,0.5532258145414715,1.1169554570835294,0.29294342411196883,1.0289488848779118,0.33360584556235073,False,False,False,False,0.1911,0.1253,0.034124999999999996,0.022375,0.05054747688962936,0.062297476889629354
completo,2002,Comunicações,antecipacao_60,0.01410902811653839,0.00023515046860897316,0.019578191674280303,60,-0.0008070212484410605,0.0751911830168259,0.0010364917098369952,0.0496731673439776,223,2001-09-28,2002-08-26,2002-07-15,2002-10-04,0.09303554321330361,0.9261905302747813,1.3217706762679926,0.2188539436500201,1.4302994170754117,0.19050420580719774,False,False,False,False,0.1911,0.1253,0.0455,0.029833333333333333,-0.03139097188346161,-0.015724305216794944
