ticker_yf,status,TICKER_YF,SETOR_B3,TICKER_ORIGINAL
TPIS3.SA,ok,TPIS3.SA,Construção e Transporte,TPIS3
TRIS3.SA,ok,TRIS3.SA,Construção e Transporte,TRIS3
UCAS3.SA,ok,UCAS3.SA,Construção e Transporte,UCAS3
VAMO3.SA,ok,VAMO3.SA,Construção e Transporte,VAMO3
AGXY3.SA,ok,AGXY3.SA,Consumo Cíclico,AGXY3
AHEB3.SA,ok,AHEB3.SA,Consumo Cíclico,AHEB3
ALOS3.SA,ok,ALOS3.SA,Consumo Cíclico,ALOS3
ALPA4.SA,ok,ALPA4.SA,Consumo Cíclico,ALPA4
AMER3.SA,ok,AMER3.SA,Consumo Cíclico,AMER3
AZZA3.SA,ok,AZZA3.SA,Consumo Cíclico,AZZA3
BHIA3.SA,ok,BHIA3.SA,Consumo Cíclico,BHIA3
BMKS3.SA,ok,BMKS3.SA,Consumo Cíclico,BMKS3
CAMB3.SA,ok,CAMB3.SA,Consumo Cíclico,CAMB3
CEAB3.SA,ok,CEAB3.SA,Consumo Cíclico,CEAB3
CEDO4.SA,ok,CEDO4.SA,Consumo Cíclico,CEDO4
CGRA4.SA,ok,CGRA4.SA,Consumo Cíclico,CGRA4
CTKA4.SA,ok,CTKA4.SA,Consumo Cíclico,CTKA4
CTSA4.SA,ok,CTSA4.SA,Consumo Cíclico,CTSA4
DOHL4.SA,ok,DOHL4.SA,Consumo Cíclico,DOHL4
EGIE3.SA,ok,EGIE3.SA,Consumo Cíclico,EGIE3
ESTR4.SA,ok,ESTR4.SA,Consumo Cíclico,ESTR4
HOOT4.SA,ok,HOOT4.SA,Consumo Cíclico,HOOT4
IGTI11.SA,ok,IGTI11.SA,Consumo Cíclico,IGTI11
MNDL3.SA,ok,MNDL3.SA,Consumo Cíclico,MNDL3
PCAR3.SA,ok,PCAR3.SA,Consumo Cíclico,PCAR3
PNVL3.SA,ok,PNVL3.SA,Consumo Cíclico,PNVL3
PTNT4.SA,ok,PTNT4.SA,Consumo Cíclico,PTNT4
RADL3.SA,ok,RADL3.SA,Consumo Cíclico,RADL3
SLED4.SA,ok,SLED4.SA,Consumo Cíclico,SLED4
TEKA4.SA,ok,TEKA4.SA,Consumo Cíclico,TEKA4
TXRX4.SA,ok,TXRX4.SA,Consumo Cíclico,TXRX4
VIVR3.SA,ok,VIVR3.SA,Construção e Transporte,VIVR3
VULC3.SA,ok,VULC3.SA,Consumo Cíclico,VULC3
AMAR3.SA,ok,AMAR3.SA,Consumo Cíclico,AMAR3
APTI4.SA,ok,APTI4.SA,Consumo Não Cíclico,APTI4
ASAI3.SA,ok,ASAI3.SA,Consumo Cíclico,ASAI3
BAUH4.SA,ok,BAUH4.SA,Consumo Não Cíclico,BAUH4
CVCB3.SA,ok,CVCB3.SA,Consumo Cíclico,CVCB3
DMVF3.SA,ok,DMVF3.SA,Consumo Cíclico,DMVF3
ENJU3.SA,ok,ENJU3.SA,Consumo Cíclico,ENJU3
FICT3.SA,ok,FICT3.SA,Consumo Não Cíclico,FICT3
GMAT3.SA,ok,GMAT3.SA,Consumo Cíclico,GMAT3
GRND3.SA,ok,GRND3.SA,Consumo Cíclico,GRND3
GSHP3.SA,ok,GSHP3.SA,Consumo Cíclico,GSHP3
IFCM3.SA,ok,IFCM3.SA,Consumo Cíclico,IFCM3
INTB3.SA,ok,INTB3.SA,Consumo Cíclico,INTB3
LJQQ3.SA,ok,LJQQ3.SA,Consumo Cíclico,LJQQ3
MGLU3.SA,ok,MGLU3.SA,Consumo Cíclico,MGLU3
ODER4.SA,ok,ODER4.SA,Consumo Não Cíclico,ODER4
OFSA3.SA,ok,OFSA3.SA,Consumo Cíclico,OFSA3
PETZ3.SA,ok,PETZ3.SA,Consumo Cíclico,PETZ3
PFRM3.SA,ok,PFRM3.SA,Consumo Cíclico,PFRM3
PGMN3.SA,ok,PGMN3.SA,Consumo Cíclico,PGMN3
RAIZ4.SA,ok,RAIZ4.SA,Consumo Cíclico,RAIZ4
SBFG3.SA,ok,SBFG3.SA,Consumo Cíclico,SBFG3
SHOW3.SA,ok,SHOW3.SA,Consumo Cíclico,SHOW3
SMFT3.SA,ok,SMFT3.SA,Consumo Cíclico,SMFT3
TECN3.SA,ok,TECN3.SA,Consumo Cíclico,TECN3
TFCO4.SA,ok,TFCO4.SA,Consumo Cíclico,TFCO4
VBBR3.SA,ok,VBBR3.SA,Consumo Cíclico,VBBR3
VIVA3.SA,ok,VIVA3.SA,Consumo Cíclico,VIVA3
VSTE3.SA,ok,VSTE3.SA,Consumo Cíclico,VSTE3
VVEO3.SA,ok,VVEO3.SA,Consumo Cíclico,VVEO3
WEST3.SA,ok,WEST3.SA,Consumo Não Cíclico,WEST3
XPBR31.SA,ok,XPBR31.SA,Consumo Cíclico,XPBR31
ABEV3.SA,ok,ABEV3.SA,Consumo Não Cíclico,ABEV3
AGRO3.SA,ok,AGRO3.SA,Consumo Não Cíclico,AGRO3
BAZA3.SA,ok,BAZA3.SA,Financeiro,BAZA3
BBAS3.SA,ok,BBAS3.SA,Financeiro,BBAS3
BBDC4.SA,ok,BBDC4.SA,Financeiro,BBDC4
BEEF3.SA,ok,BEEF3.SA,Consumo Não Cíclico,BEEF3
BEES4.SA,ok,BEES4.SA,Financeiro,BEES4
BGIP4.SA,ok,BGIP4.SA,Financeiro,BGIP4
BMEB4.SA,ok,BMEB4.SA,Financeiro,BMEB4
BMIN4.SA,ok,BMIN4.SA,Financeiro,BMIN4
BNBR3.SA,ok,BNBR3.SA,Financeiro,BNBR3
BPAN4.SA,ok,BPAN4.SA,Financeiro,BPAN4
BPAR3.SA,ok,BPAR3.SA,Financeiro,BPAR3
BRSR6.SA,ok,BRSR6.SA,Financeiro,BRSR6
CAML3.SA,ok,CAML3.SA,Consumo Não Cíclico,CAML3
CSAN3.SA,ok,CSAN3.SA,Consumo Não Cíclico,CSAN3
JALL3.SA,ok,JALL3.SA,Consumo Não Cíclico,JALL3
JOPA4.SA,ok,JOPA4.SA,Consumo Não Cíclico,JOPA4
MDIA3.SA,ok,MDIA3.SA,Consumo Não Cíclico,MDIA3
MEAL3.SA,ok,MEAL3.SA,Consumo Não Cíclico,MEAL3
MNPR3.SA,ok,MNPR3.SA,Consumo Não Cíclico,MNPR3
NUTR3.SA,ok,NUTR3.SA,Consumo Não Cíclico,NUTR3
RPAD5.SA,ok,RPAD5.SA,Financeiro,RPAD5
SLCE3.SA,ok,SLCE3.SA,Consumo Não Cíclico,SLCE3
SMTO3.SA,ok,SMTO3.SA,Consumo Não Cíclico,SMTO3
SOJA3.SA,ok,SOJA3.SA,Consumo Não Cíclico,SOJA3
TTEN3.SA,ok,TTEN3.SA,Consumo Não Cíclico,TTEN3
VITT3.SA,ok,VITT3.SA,Consumo Não Cíclico,VITT3
ABCB4.SA,ok,ABCB4.SA,Financeiro,ABCB4
B3SA3.SA,ok,B3SA3.SA,Financeiro,B3SA3
BALM4.SA,ok,BALM4.SA,Materiais Básicos,BALM4
BBSE3.SA,ok,BBSE3.SA,Financeiro,BBSE3
BMGB4.SA,ok,BMGB4.SA,Financeiro,BMGB4
BPAC3.SA,ok,BPAC3.SA,Financeiro,BPAC3
BRAP4.SA,ok,BRAP4.SA,Materiais Básicos,BRAP4
BRBI11.SA,ok,BRBI11.SA,Financeiro,BRBI11
BRGE11.SA,ok,BRGE11.SA,Financeiro,BRGE11
BRKM5.SA,ok,BRKM5.SA,Materiais Básicos,BRKM5
CRIV4.SA,ok,CRIV4.SA,Financeiro,CRIV4
CSNA3.SA,ok,CSNA3.SA,Materiais Básicos,CSNA3
CXSE3.SA,ok,CXSE3.SA,Financeiro,CXSE3
EALT3.SA,ok,EALT3.SA,Materiais Básicos,EALT3
FESA4.SA,ok,FESA4.SA,Materiais Básicos,FESA4
FIGE4.SA,ok,FIGE4.SA,Financeiro,FIGE4
HBTS5.SA,ok,HBTS5.SA,Financeiro,HBTS5
IRBR3.SA,ok,IRBR3.SA,Financeiro,IRBR3
ITSA4.SA,ok,ITSA4.SA,Financeiro,ITSA4
ITUB4.SA,ok,ITUB4.SA,Financeiro,ITUB4
MERC4.SA,ok,MERC4.SA,Financeiro,MERC4
MSPA4.SA,ok,MSPA4.SA,Materiais Básicos,MSPA4
PEAB4.SA,ok,PEAB4.SA,Financeiro,PEAB4
PSSA3.SA,ok,PSSA3.SA,Financeiro,PSSA3
QUAL3.SA,ok,QUAL3.SA,Financeiro,QUAL3
SANB11.SA,ok,SANB11.SA,Financeiro,SANB11
AURA33.SA,ok,AURA33.SA,Materiais Básicos,AURA33
CBAV3.SA,ok,CBAV3.SA,Materiais Básicos,CBAV3
CMIN3.SA,ok,CMIN3.SA,Materiais Básicos,CMIN3
COGN3.SA,ok,COGN3.SA,Outros,COGN3
CRPG5.SA,ok,CRPG5.SA,Materiais Básicos,CRPG5
DEXP4.SA,ok,DEXP4.SA,Outros,DEXP4
EPAR3.SA,ok,EPAR3.SA,Outros,EPAR3
FHER3.SA,ok,FHER3.SA,Materiais Básicos,FHER3
GGBR4.SA,ok,GGBR4.SA,Materiais Básicos,GGBR4
GOAU3.SA,ok,GOAU3.SA,Materiais Básicos,GOAU3
HAGA4.SA,ok,HAGA4.SA,Materiais Básicos,HAGA4
HETA4.SA,ok,HETA4.SA,Materiais Básicos,HETA4
KEPL3.SA,ok,KEPL3.SA,Materiais Básicos,KEPL3
KLBN11.SA,ok,KLBN11.SA,Materiais Básicos,KLBN11
MAPT4.SA,ok,MAPT4.SA,Outros,MAPT4
MGEL4.SA,ok,MGEL4.SA,Materiais Básicos,MGEL4
MOAR3.SA,ok,MOAR3.SA,Outros,MOAR3
MTSA4.SA,ok,MTSA4.SA,Materiais Básicos,MTSA4
MWET4.SA,ok,MWET4.SA,Materiais Básicos,MWET4
NORD3.SA,ok,NORD3.SA,Materiais Básicos,NORD3
PATI4.SA,ok,PATI4.SA,Materiais Básicos,PATI4
PMAM3.SA,ok,PMAM3.SA,Materiais Básicos,PMAM3
RANI3.SA,ok,RANI3.SA,Materiais Básicos,RANI3
SHUL4.SA,ok,SHUL4.SA,Materiais Básicos,SHUL4
SNSY5.SA,ok,SNSY5.SA,Materiais Básicos,SNSY5
SUZB3.SA,ok,SUZB3.SA,Materiais Básicos,SUZB3
TKNO4.SA,ok,TKNO4.SA,Materiais Básicos,TKNO4
TUPY3.SA,ok,TUPY3.SA,Materiais Básicos,TUPY3
UNIP6.SA,ok,UNIP6.SA,Materiais Básicos,UNIP6
USIM5.SA,ok,USIM5.SA,Materiais Básicos,USIM5
VALE3.SA,ok,VALE3.SA,Materiais Básicos,VALE3
AALR3.SA,ok,AALR3.SA,Saúde,AALR3
BIOM3.SA,ok,BIOM3.SA,Saúde,BIOM3
BLAU3.SA,ok,BLAU3.SA,Saúde,BLAU3
BOBR4.SA,ok,BOBR4.SA,Saúde,BOBR4
BPHA3.SA,ok,BPHA3.SA,Saúde,BPHA3
BRAV3.SA,ok,BRAV3.SA,"Petróleo, Gás e Biocombustíveis",BRAV3
BRPR3.SA,ok,BRPR3.SA,Outros,BRPR3
CSED3.SA,ok,CSED3.SA,Outros,CSED3
CSUD3.SA,ok,CSUD3.SA,Outros,CSUD3
DASA3.SA,ok,DASA3.SA,Saúde,DASA3
FLRY3.SA,ok,FLRY3.SA,Saúde,FLRY3
GGPS3.SA,ok,GGPS3.SA,Outros,GGPS3
HAPV3.SA,ok,HAPV3.SA,Saúde,HAPV3
HYPE3.SA,ok,HYPE3.SA,Saúde,HYPE3
LUXM4.SA,ok,LUXM4.SA,Outros,LUXM4
MATD3.SA,ok,MATD3.SA,Saúde,MATD3
OPCT3.SA,ok,OPCT3.SA,"Petróleo, Gás e Biocombustíveis",OPCT3
OSXB3.SA,ok,OSXB3.SA,Outros,OSXB3
PETR4.SA,ok,PETR4.SA,"Petróleo, Gás e Biocombustíveis",PETR4
PPAR3.SA,ok,PPAR3.SA,Outros,PPAR3
PRIO3.SA,ok,PRIO3.SA,Saúde,PRIO3
RECV3.SA,ok,RECV3.SA,"Petróleo, Gás e Biocombustíveis",RECV3
RPMG3.SA,ok,RPMG3.SA,"Petróleo, Gás e Biocombustíveis",RPMG3
SCAR3.SA,ok,SCAR3.SA,Outros,SCAR3
SEER3.SA,ok,SEER3.SA,Outros,SEER3
UGPA3.SA,ok,UGPA3.SA,"Petróleo, Gás e Biocombustíveis",UGPA3
YDUQ3.SA,ok,YDUQ3.SA,"Petróleo, Gás e Biocombustíveis",YDUQ3
AURE3.SA,ok,AURE3.SA,Utilidade Pública,AURE3
CASN3.SA,ok,CASN3.SA,Utilidade Pública,CASN3
CEBR3.SA,ok,CEBR3.SA,Utilidade Pública,CEBR3
CEEB3.SA,ok,CEEB3.SA,Utilidade Pública,CEEB3
CGAS5.SA,ok,CGAS5.SA,Utilidade Pública,CGAS5
CLSC4.SA,ok,CLSC4.SA,Utilidade Pública,CLSC4
CMIG4.SA,ok,CMIG4.SA,Utilidade Pública,CMIG4
COCE5.SA,ok,COCE5.SA,Utilidade Pública,COCE5
CPFE3.SA,ok,CPFE3.SA,Utilidade Pública,CPFE3
EKTR4.SA,ok,EKTR4.SA,Utilidade Pública,EKTR4
EMAE4.SA,ok,EMAE4.SA,Utilidade Pública,EMAE4
ENGI11.SA,ok,ENGI11.SA,Utilidade Pública,ENGI11
ENMT3.SA,ok,ENMT3.SA,Utilidade Pública,ENMT3
EQPA3.SA,ok,EQPA3.SA,Utilidade Pública,EQPA3
ESPA3.SA,ok,ESPA3.SA,Saúde,ESPA3
ISAE4.SA,ok,ISAE4.SA,Utilidade Pública,ISAE4
NATU3.SA,ok,NATU3.SA,Saúde,NATU3
NEOE3.SA,ok,NEOE3.SA,Utilidade Pública,NEOE3
ODPV3.SA,ok,ODPV3.SA,Saúde,ODPV3
ONCO3.SA,ok,ONCO3.SA,Saúde,ONCO3
RDOR3.SA,ok,RDOR3.SA,Saúde,RDOR3
REDE3.SA,ok,REDE3.SA,Utilidade Pública,REDE3
SAPR4.SA,ok,SAPR4.SA,Utilidade Pública,SAPR4
SBSP3.SA,ok,SBSP3.SA,Utilidade Pública,SBSP3
AFLT3.SA,ok,AFLT3.SA,Utilidade Pública,AFLT3
ALUP4.SA,ok,ALUP4.SA,Utilidade Pública,ALUP4
